old host name,new host name,group name
TOTEM - NUC - 172.17.16.50,172.17.16.50,MT - CAMPO VERDE - ESCOLA SABINO RUA SÃO PAULO/BELO HORIZONTE
TOTEM - NUC - 172.17.16.70,172.17.16.70,"MT - CAMPO VERDE - ESCOLA MONTEIRO LOBATO AV SANTA TEREZA, SN"
TOTEM - NUC - 172.17.16.100,172.17.16.100,"MT - CAMPO VERDE - ESCOLA MUNICIPAL SÃO LOURENÇO RUA MATO GROSSO DO SUL, 264."
TOTEM - NUC - 172.17.16.140,172.17.16.140,MT - CAMPO VERDE - ESCOLA PAULO FREIRE AV AYRTON SENNA
TOTEM - NUC - 172.17.16.160,172.17.16.160,MT - CAMPO VERDE - PRAÇA SÃO MIGUEL - ESCOLA LEDI AV CESAR LIMA
TOTEM - NUC - 172.17.16.170,172.17.16.170,MT - CAMPO VERDE - IGREJA MATRIZ AV BRASIL / RUA FORTALEZA
TOTEM - NUC - 172.17.16.180,172.17.16.180,MT - CAMPO VERDE - ESCOLA PROF. AUREA GONÇALVES MARQUETI AV MATO GROSSO
TOTEM - NUC - 172.17.16.120,172.17.16.120,MT - CAMPO VERDE - ESCOLA DONA MARIA ARTEMIR PIRES JD CAMPO VERDE
TOTEM - NUC - 172.17.16.190,172.17.16.190,MT - CAMPO VERDE - FARMÁCIA AV. SÃO LOURENÇO
