old host name,new host name,group name
TOTEM - NUC - 172.16.44.40,172.16.44.40,PR - LONDRINA - PRAÇA DOM PEDRO I
TOTEM - NUC - 172.16.44.50,172.16.44.50,PR - LONDRINA - PRAÇA DO COMPLEXO ESPORTIVO DO CONJUNTO MARIA CECÍLIA
TOTEM - NUC - 172.16.44.70,172.16.44.70,PR - LONDRINA - ANFITEATRO DO ZERÃO
TOTEM - NUC - 172.16.44.90,172.16.44.90,PR - LONDRINA - BOSQUE
TOTEM - NUC - 172.16.44.150,172.16.44.150,PR - LONDRINA - ESCOLA MUNICIPAL MELVIN JONES
TOTEM - NUC - 172.16.44.60,172.16.44.60,PR - LONDRINA - ESPAÇO CEU DA ZONA OESTE
TOTEM - NUC - 172.16.44.80,172.16.44.80,PR - LONDRINA - PRAÇA DA BANDEIRA
TOTEM - NUC - 172.16.44.110,172.16.44.110,PR - LONDRINA - ROTATÓRIA DA FINAL DA AVENIDA MARINGÁ
TOTEM - NUC - 172.16.44.100,172.16.44.100,PR - LONDRINA - CONCHA ACUSTICA
