old host name,new host name,group name
TOTEM - NUC - 172.17.12.70,172.17.12.70,RO - CACOAL - ROTATÓRIA AV. BELO HORIZONTE COM AV. RIO DE JANEIRO
TOTEM - NUC - 172.17.12.50,172.17.12.50,RO - CACOAL - HOSPITAL REGIONAL
TOTEM - NUC - 172.17.12.80,172.17.12.80,RO - CACOAL - AV. CUIABÁ - FRENTE AO FÓRUM
TOTEM - NUC - 172.17.12.90,172.17.12.90,RO - CACOAL - BR-364 COM AV. BELO HORIZONTE - FRENTE AO PONTO DO PENINHA
TOTEM - NUC - 172.17.12.100,172.17.12.100,RO - CACOAL - AV. SÃO PAULO C/ RUA ANÍSIO SERRÃO - ESCOLA COOPEC
TOTEM - NUC - 172.17.12.110,172.17.12.110,RO - CACOAL - AV. PORTO VELHO COM RUA DOS PIONEIROS - CENTRO
TOTEM - NUC - 172.17.12.120,172.17.12.120,RO - CACOAL - R. ROSINÉIA DE SOUZA COM R. ANTÔNIO DE SANTANA - BAIRRO VILAGE DO SOL
TOTEM - NUC - 172.17.12.130,172.17.12.130,RO - CACOAL - RUA UIRAPURÚS - ESCOLA JOSINO BRITO
TOTEM - NUC - 172.17.12.60,172.17.12.60,RO - CACOAL - PARQUE SABIÁ
